"line","word_count","font_size","is_bold","color","title_case","label"
"TIBCO Software may not publish any test result of a candidate","11","11.547","False","#000000","False","paragraph"
"to anyone, unless authorized by the candidate.","7","11.547","False","#000000","False","paragraph"
"A candidate may publish any of his test results to anyone, in","12","11.547","False","#000000","False","paragraph"
"particular to any customer.","4","11.547","False","#000000","False","paragraph"
"Anyone, in particular any customer, may request TIBCO","8","11.547","False","#000000","False","paragraph"
"Software to authenticate any test result of a candidate.","9","11.547","False","#000000","False","paragraph"
"Price","1","12.69","True","#000000","True","heading"
"Euro zone: 600 € per participant and test","8","11.547","False","#000000","False","paragraph"
"United States: $700 per participant and test","7","11.547","False","#000000","False","paragraph"
"Website","1","12.69","True","#000000","True","heading"
"www.orchestranetworks.com/certification","1","11.547","False","#000000","False","paragraph"
"Contact","1","12.69","True","#000000","True","heading"
"ebx-training-cert@tibco.com","1","11.547","False","#000000","False","paragraph"
"TIBCO Software - ebx-training-cert@tibco.com - www.tibco.com","6","11.547","False","#000000","False","paragraph"
"Content domain","2","12.69","True","#000000","False","heading"
"The content domain of a test contains the following topics.","10","11.547","False","#000000","False","paragraph"
"A test has the elementary level: It contains primarily knowledge questions and secondarily skill questions.","15","11.547","False","#000000","False","paragraph"
"The reference material is that of the EBX 5.8.0 Development training.","11","11.547","False","#000000","False","paragraph"
"Libraries","1","11.547","False","#000000","True","paragraph"
"Directory structure","2","11.547","False","#000000","False","paragraph"
"EBX Core library","3","11.547","False","#000000","False","paragraph"
"EBX Add-Ons libraries","3","11.547","False","#000000","False","paragraph"
"Third party libraries","3","11.547","False","#000000","False","paragraph"
"Repository","1","11.547","False","#000000","True","paragraph"
"Directory structure","2","11.547","False","#000000","False","paragraph"
"EBX configuration file","3","11.547","False","#000000","False","paragraph"
"Server","1","11.547","False","#000000","True","paragraph"
"Required libraries","2","11.547","False","#000000","False","paragraph"
"Directory structure","2","11.547","False","#000000","False","paragraph"
"Deployed shared libraries","3","11.547","False","#000000","False","paragraph"
"Deployed web applications","3","11.547","False","#000000","False","paragraph"
"Server configuration file","3","11.547","False","#000000","False","paragraph"
"Eclipse run configuration","3","11.547","False","#000000","False","paragraph"
"Ant tasks","2","11.547","False","#000000","False","paragraph"
"Module","1","11.547","False","#000000","True","paragraph"
"Required libraries","2","11.547","False","#000000","False","paragraph"
"Directory structure","2","11.547","False","#000000","False","paragraph"
"Step 1. Project creation","4","11.547","False","#000000","False","paragraph"
"Step 2. Ant task definition","5","11.547","False","#000000","False","paragraph"
"Step 3. Module registration","4","11.547","False","#000000","False","paragraph"
"Step 4. Module configuration","4","11.547","False","#000000","False","paragraph"
"Step 5. Module deployment","4","11.547","False","#000000","False","paragraph"
"Step 6. Server execution","4","11.547","False","#000000","False","paragraph"
"Step 7. Data model association","5","11.547","False","#000000","False","paragraph"
"Step 8. Data model publication","5","11.547","False","#000000","False","paragraph"
"Step 9. Data set creation","5","11.547","False","#000000","False","paragraph"
"Step10. Java bindings generation","4","11.547","False","#000000","False","paragraph"
"Computed fields","2","11.547","False","#000000","False","paragraph"
"Step 1. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 2. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 3. Class association","4","11.547","False","#000000","False","paragraph"
"Step 4. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Performance","1","11.547","False","#000000","True","paragraph"
"Foreign key filters","3","11.547","False","#000000","False","paragraph"
"Step 1. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 2. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 3. Class association","4","11.547","False","#000000","False","paragraph"
"Step 4. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Performance","1","11.547","False","#000000","True","paragraph"
"Table triggers","2","11.547","False","#000000","False","paragraph"
"Step 1. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 2. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 3. Class association","4","11.547","False","#000000","False","paragraph"
"Step 4. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Exception handling","2","11.547","False","#000000","False","paragraph"
"Field widgets","2","11.547","False","#000000","False","paragraph"
"Step 1. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 2. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 3. Class association","4","11.547","False","#000000","False","paragraph"
"Step 4. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Form Layouts","2","11.547","False","#000000","True","paragraph"
"Step 1. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 2. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 3. Class association","4","11.547","False","#000000","False","paragraph"
"Step 4. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Permissions","1","11.547","False","#000000","True","paragraph"
"Step 1. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 2. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 3. Class association","4","11.547","False","#000000","False","paragraph"
"Step 4. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Performance","1","11.547","False","#000000","True","paragraph"
"Workflow user tasks","3","11.547","False","#000000","False","paragraph"
"Step 1. Variable declaration","4","11.547","False","#000000","False","paragraph"
"Step 2. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 3. Class association","4","11.547","False","#000000","False","paragraph"
"Step 4. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Workflow script tasks","3","11.547","False","#000000","False","paragraph"
"Step 1. Variable declaration","4","11.547","False","#000000","False","paragraph"
"Step 2. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 3. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 4. Class association","4","11.547","False","#000000","False","paragraph"
"Step 5. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"Workflow conditions","2","11.547","False","#000000","False","paragraph"
"Step 1. Variable declaration","4","11.547","False","#000000","False","paragraph"
"Step 2. Class implementation","4","11.547","False","#000000","False","paragraph"
"Step 3. Class declaration","4","11.547","False","#000000","False","paragraph"
"Step 4. Class association","4","11.547","False","#000000","False","paragraph"
"Step 5. Model publication","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"User services","2","11.547","False","#000000","False","paragraph"
"Step 1. Service implementation","4","11.547","False","#000000","False","paragraph"
"Step 2. Service declaration","4","11.547","False","#000000","False","paragraph"
"Step 3. Service registration","4","11.547","False","#000000","False","paragraph"
"Life cycle","2","11.547","False","#000000","False","paragraph"
"TIBCO Software - ebx-training-cert@tibco.com - www.tibco.com","6","11.547","False","#000000","False","paragraph"
