"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"[9] Pedro F Felzenszwalb, Ross B Girshick, David McAllester, and Deva Ramanan. Object detection with","0","0","0","1","3","15","0","0","6","1","paragraph"
"discriminatively trained part-based models. IEEE Transactions on Pattern Analysis and Machine Intelli-","0","0","0","0","3","12","0","2","3","0","paragraph"
"gence, 32(9):1627–1645, 2010.","0","0","0","0","0","3","0","0","1","0","paragraph"
"[10] Sanja Fidler and Aleˇs Leonardis. Towards scalable representations of object categories: Learning a hier-","0","0","0","1","3","15","0","1","4","1","paragraph"
"archy of parts. In Computer Vision and Pattern Recognition, 2007.","0","0","0","0","3","10","0","0","4","0","paragraph"
"[11] R. B. Girshick, P. F. Felzenszwalb, and D. McAllester. Discriminatively trained deformable part models,","0","0","0","1","3","15","0","1","4","1","paragraph"
"release 5. http://people.cs.uchicago.edu/ rbg/latent-release5/.","0","0","0","1","0","4","0","0","2","1","paragraph"
"[12] Geoffrey E Hinton and Ruslan R Salakhutdinov.","0","0","0","1","2","8","0","0","2","1","paragraph"
"works. Science, 313(5786):504–507, 2006.","0","0","0","0","3","4","0","0","2","1","paragraph"
"Reducing the dimensionality of data with neural net-","0","0","0","1","3","8","0","1","2","0","paragraph"
"[13] Iasonas Kokkinos and Alan Yuille. Inference and learning with hierarchical shape models. International","0","0","0","0","3","14","0","1","4","1","paragraph"
"Journal of Computer Vision, 93(2):201–225, 2011.","0","0","0","0","2","6","0","0","2","0","paragraph"
"[14] Alex Krizhevsky, Ilya Sutskever, and Geoff Hinton. Imagenet classiﬁcation with deep convolutional","0","0","0","1","3","13","0","0","4","1","paragraph"
"neural networks. In Advances in Neural Information Processing Systems 25, 2012.","0","0","0","0","3","11","0","0","3","0","paragraph"
"[15] Quoc V Le, Marc’Aurelio Ranzato, Rajat Monga, Matthieu Devin, Kai Chen, Greg S Corrado, Jeff Dean,","0","0","0","1","2","17","0","0","7","2","paragraph"
"and Andrew Y Ng. Building high-level features using large scale unsupervised learning. In International","0","0","0","0","3","14","0","3","4","0","paragraph"
"Conference on Machine Learning, 2012.","0","0","0","0","2","5","0","0","2","0","paragraph"
"[16] Yann LeCun and Yoshua Bengio. Convolutional networks for images, speech, and time series. The","0","0","0","0","3","15","0","0","6","1","paragraph"
"handbook of brain theory and neural networks, 1995.","0","0","0","0","0","8","0","0","3","0","paragraph"
"[17] Jorge S´anchez and Florent Perronnin. High-dimensional signature compression for large-scale image","0","0","0","1","3","12","0","0","4","1","paragraph"
"classiﬁcation. In Computer Vision and Pattern Recognition, 2011.","0","0","0","0","3","8","0","0","3","0","paragraph"
"[18] Hannes Schulz and Sven Behnke. Object-class segmentation using deep convolutional neural networks.","0","0","0","1","3","13","0","1","4","1","paragraph"
"In Proceedings of the DAGM Workshop on New Challenges in Neural Computation, 2011.","0","0","0","0","2","13","0","0","4","0","paragraph"
"[19] Long Zhu, Yuanhao Chen, Alan Yuille, and William Freeman. Latent hierarchical structural learning for","0","0","0","1","3","15","0","1","4","1","paragraph"
"object detection. In Computer Vision and Pattern Recognition, 2010.","0","0","0","0","3","9","0","0","2","0","paragraph"
"[20] Song Chun Zhu and David Mumford. A stochastic grammar of images. Computer Graphics and Vision,","0","0","0","0","3","16","0","0","6","0","paragraph"
"2(4):259–362, 2007.","0","0","0","1","2","2","0","0","0","0","paragraph"
"9","0","1","0","1","2","1","1","0","0","1","paragraph"
