"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"2026.","0","0","0","1","2","1","0","0","0","0","paragraph"
"The Budget also redefines what is possible, by putting the American economy on a path to sus-","0","0","0","1","3","17","0","2","4","0","paragraph"
"tainable 3-percent long-term economic growth. Over the next decade, a steady rate of 3-percent eco-","0","0","0","1","3","15","0","0","3","0","paragraph"
"nomic growth will infuse trillions of additional dollars into our economy, fueling the dreams of the","0","0","0","1","0","16","0","3","5","0","paragraph"
"American people and sustaining a new era of American Greatness.","0","0","0","1","3","10","0","1","3","0","paragraph"
"Preserving Peace Through Strength. The Budget recognizes that we confront political, eco-","0","0","0","0","3","12","0","3","4","0","paragraph"
"nomic, and military adversaries and competitors that have required us to adjust our national se-","0","0","0","1","0","15","0","2","4","0","paragraph"
"curity strategy. Foremost, the Budget rebuilds and modernizes the military—to fulfill a core con-","0","0","0","1","3","14","0","3","3","0","paragraph"
"stitutional responsibility of the Federal Government. The Budget provides resources to enhance","0","0","0","1","3","12","0","2","4","0","paragraph"
"missile defense and to build the planes, tanks, warships, and cyber tools that the brave men and","0","0","0","1","0","17","0","1","6","0","paragraph"
"women who defend us need to deter aggression and, when necessary, to fight and win. Most impor-","0","0","0","1","3","17","0","5","4","0","paragraph"
"tantly, the Budget provides funds to increase the size of our Armed Forces and to give our men and","0","0","0","1","3","19","0","3","5","0","paragraph"
"women in uniform a well-earned pay raise. The Budget recognizes that we must deftly employ all","0","0","0","1","3","16","0","4","5","0","paragraph"
"of our tools of statecraft—diplomatic, intelligence-related, military, and economic—to compete and","0","0","0","1","0","11","0","2","2","0","paragraph"
"1","0","0","0","1","2","1","1","0","0","1","paragraph"
"2","0","0","0","1","2","1","1","0","0","1","paragraph"
"THE BUDGET MESSAGE OF THE PRESIDENT","0","0","0","1","1","6","0","0","2","0","heading"
"advance American influence. A world that supports American interests and reflects our values makes","0","0","0","1","3","14","0","3","4","0","paragraph"
"America more secure and prosperous.","0","0","0","1","3","5","0","0","1","0","paragraph"
"Building the Wall, Dismantling Transnational Criminal Organizations, and Enforcing","0","0","0","1","2","9","0","2","3","0","paragraph"
"Our Immigration Laws. The Budget reflects my Administration’s serious and ongoing commit-","0","0","0","0","3","12","0","1","3","0","paragraph"
"ment to fully secure our border, take the fight to criminal gangs like MS-13, and make our immigra-","0","0","0","1","3","18","0","3","4","0","paragraph"
"tion system work for Americans. The Budget provides funding for a wall on our Southwest border","0","0","0","1","3","16","0","1","6","0","paragraph"
"and additional resources for law enforcement at the Departments of Homeland Security and Justice.","0","0","0","1","3","14","0","0","5","0","paragraph"
"The Budget also funds an increase in the number of Immigration and Customs Enforcement officers,","0","0","0","1","3","15","0","1","4","0","paragraph"
"Border Patrol agents, and immigration judges to improve enforcement at the border and within the","0","0","0","1","3","15","0","1","4","0","paragraph"
"United States.","0","0","0","1","2","2","0","0","1","0","paragraph"
"Rebuilding our Infrastructure. World-class infrastructure is possible for the American people.","0","0","0","0","3","11","0","1","3","0","paragraph"
"Together we will build stunning new bridges, railways, waterways, tunnels, water treatment facili-","0","0","0","1","3","13","0","2","6","0","paragraph"
"ties, and highways. The Budget reflects a new vision for American infrastructure that would generate","0","0","0","1","3","15","0","3","5","0","paragraph"
"$1 trillion in infrastructure investment and speed its delivery to the American people.","0","0","0","1","3","13","0","1","3","0","paragraph"
"Supporting American Working Families. Due to changes in family structures, labor force com-","0","0","0","0","3","13","0","1","3","0","paragraph"
"position, and participation rates, the demands on American families have never been more complex","0","0","0","1","3","14","0","0","2","0","paragraph"
"or expensive to address. In addition to the middle income tax relief achieved with the passage of tax","0","0","0","1","3","18","0","2","4","0","paragraph"
"reform, the Budget reflects the importance of investing in American working families by making paid","0","0","0","1","3","15","0","4","3","0","paragraph"
"family leave available to new parents, investing in effective approaches to skills training like formal","0","0","0","1","0","15","0","2","4","0","paragraph"
"apprenticeships, and maintaining Federal funding and leveraging additional State dollars for pro-","0","0","0","1","3","12","0","2","3","0","paragraph"
"grams that help America’s working families access and afford child care. With these strategic invest-","0","0","0","1","3","15","0","3","4","0","paragraph"
"ments, the Budget empowers Americans to thrive in our modern economy.","0","0","0","1","3","11","0","2","3","0","paragraph"
"Protecting Our Veterans. The Budget fulfills our promise and obligation to care for our veterans","0","0","0","0","3","15","0","3","5","0","paragraph"
"and their families—men and women who answered our Nation’s call for help and sacrificed so much","0","0","0","1","3","16","0","2","6","0","paragraph"
"to defend us. Our veterans have earned nothing less than the absolute best care and benefits after","0","0","0","1","3","17","0","2","5","0","paragraph"
"their service has ended, and the Budget provides the funding necessary to treat them with the honor","0","0","0","1","3","17","0","3","5","0","paragraph"
"and respect they deserve. It is our Nation’s duty to ensure veterans have access to the medical treat-","0","0","0","1","3","18","0","3","6","0","paragraph"
"ment they need, when they need it—and that they have a choice when it comes to their care. The","0","0","0","1","3","19","0","3","7","0","paragraph"
"Budget also ensures that veterans receive training and support to re-enter the workforce and find","0","0","0","1","3","15","0","6","5","0","paragraph"
"well-paying jobs.","0","0","0","1","0","2","0","1","1","0","paragraph"
"Combatting Opioid Addiction. More Americans died from drug overdoses in 2016 than those","0","0","0","0","3","13","0","2","3","0","paragraph"
"who lost their lives in the Vietnam War. Opioids caused the overwhelming majority of these deaths,","0","0","0","1","3","16","0","2","6","0","paragraph"
"which is why my Administration has declared a nationwide Public Health Emergency with respect to","0","0","0","1","3","15","0","1","3","0","paragraph"
"opioids. The Budget reflects a solemn and unshakable commitment to liberate communities from the","0","0","0","1","3","14","0","2","4","0","paragraph"
"scourge of opioids and drug addiction.","0","0","0","1","0","6","0","0","2","0","paragraph"
"Fighting High Medical Drug Prices. Many patients face illness that could be cured or man-","0","0","0","0","3","15","0","4","3","0","paragraph"
"aged with the right medical drugs. But the prices for the drugs they need are often exorbitant.","0","0","0","1","3","17","0","1","4","0","paragraph"
"Unnecessarily high drug prices force many patients to choose between going without the medicines","0","0","0","1","3","14","0","3","3","0","paragraph"
"they need or making tremendous financial sacrifices. In addition, taxpayers all too often are left","0","0","0","1","3","15","0","3","4","0","paragraph"
"to pay inflated prices for drugs for patients who obtain them through Government programs. The","0","0","0","1","3","15","0","2","6","0","paragraph"
"Budget proposes new strategies to address high drug prices and increase access to drugs by address-","0","0","0","1","3","16","0","3","6","0","paragraph"
"ing perverse payment incentives and exposing drug companies to more aggressive competition, all","0","0","0","1","0","13","0","2","3","0","paragraph"
"while continuing to promote innovation and extend American dominance in the pharmaceutical field.","0","0","0","1","3","13","0","3","3","0","paragraph"
"Moving from Welfare to Work. Millions of our fellow Americans have been robbed of the dig-","0","0","0","0","3","16","0","3","4","1","paragraph"
"nity and independence that comes through the opportunity to work. Despite significant economic","0","0","0","1","3","13","0","2","3","0","paragraph"
"THE BUDGET FOR FISCAL YEAR 2019","0","0","0","1","1","6","0","0","2","0","paragraph"
"3","0","0","0","1","2","1","1","0","0","1","paragraph"
"improvements and a strong recovery in the job market, enrollment in welfare programs remains","0","0","0","1","0","14","0","1","5","0","paragraph"
"stubbornly high in many places around the Nation. Millions of Americans are in a tragic state of de-","0","0","0","1","3","18","0","0","5","1","paragraph"
"pendency on a welfare system that does not reward work, and in many cases, pays people not to work.","0","0","0","1","0","19","0","3","5","0","paragraph"
"These programs, expanded during the previous administration, must now be reformed. While mov-","0","0","0","1","3","13","0","3","2","0","paragraph"
"ing able-bodied Americans back into the workforce, welfare reform must also protect public resources","0","0","0","1","3","14","0","3","4","0","paragraph"
"for the truly needy, especially the low-income elderly, children, and Americans with disabilities. The","0","0","0","1","3","14","0","0","3","0","paragraph"
"Budget includes sensible reforms to problems in our current welfare system, and aims to end debili-","0","0","0","1","3","16","0","3","4","0","paragraph"
"tating dependency while ensuring that our safety net is reserved for those Americans who truly need","0","0","0","1","3","16","0","4","4","0","paragraph"
"help.","0","0","0","1","0","1","0","1","0","0","paragraph"
"More Pathways to Affordable Education and Well-Paying Jobs. The Budget takes impor-","0","0","0","0","3","12","0","2","4","0","paragraph"
"tant steps to expand opportunities for Americans to access affordable, employment-relevant educa-","0","0","0","1","3","12","0","2","3","0","paragraph"
"tion that puts them on the path to a well-paying job and, ultimately, a fulfilling career. The Budget","0","0","0","1","3","18","0","3","6","0","paragraph"
"promotes formal apprenticeships, an evidence-based system that allows individuals to “earn-while","0","0","0","1","0","11","0","4","3","0","paragraph"
"they learn.” The Budget also makes important investments in science, technology, engineering, and","0","0","0","1","3","13","0","2","6","0","paragraph"
"mathematics (STEM) education in K-12 schools, and supports career and technical education in high","0","0","0","1","3","14","0","1","5","0","paragraph"
"schools and postsecondary institutions.","0","0","0","1","0","4","0","0","2","0","paragraph"
"Promoting School Choice. So many of America’s poorest children—especially African-American","0","0","0","0","3","10","0","1","3","0","paragraph"
"and Hispanic children—attend failing public schools that afford them little hope of fulfilling their","0","0","0","1","3","14","0","4","4","0","paragraph"
"great potential. That is why families should be free to choose the public, private, charter, magnet,","0","0","0","1","3","16","0","2","3","0","paragraph"
"religious, or home school option that is right for them. The Budget empowers parents, especially of","0","0","0","1","3","16","0","1","4","0","paragraph"
"our disadvantaged youth, to choose the very best school for their children.","0","0","0","1","0","12","0","1","3","0","paragraph"
"* * * * *","0","0","0","1","2","5","0","0","0","0","paragraph"
"The Budget reflects our commitment to the safety, prosperity, and security of the American people.","0","0","0","1","3","15","0","1","6","0","paragraph"
"The more room our economy has to grow, and the more American companies are freed from constrict-","0","0","0","1","3","17","0","2","3","0","paragraph"
"ing over-regulation, the stronger and safer we become as a Nation.","0","0","0","1","3","11","0","2","3","0","paragraph"
"It is now up to the Congress to act. I pledge my full cooperation in unleashing the incredible and","0","0","0","1","3","19","0","3","4","0","paragraph"
"unparalleled potential of the American people. There is no limit to the promise of America when we","0","0","0","1","3","17","0","0","5","0","paragraph"
"keep our commitments to our fellow Americans and continue to put their interests first. Working","0","0","0","1","3","15","0","3","4","0","paragraph"
"together, we will do just that.","0","0","0","1","0","6","0","1","1","0","paragraph"
"The WhiTe hoUse,","0","0","0","1","3","3","0","0","0","0","paragraph"
"febrUary 2018","0","0","0","0","3","2","0","0","1","0","paragraph"
"DONALD J. TRUMP","0","0","0","1","1","3","0","0","1","0","paragraph"
