"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"The language is English.","0","0","0","1","3","4","0","0","2","0","paragraph"
"There are 40 questions.","0","0","0","1","3","4","0","0","1","1","paragraph"
"The allowed time is 60 minutes.","0","0","0","1","3","6","0","1","2","0","paragraph"
"The passing score is 70%.","0","0","0","1","3","5","0","1","2","0","paragraph"
"Validity","1","0","0","1","2","1","0","0","1","0","heading"
"A certificate is valid within the 3 years following the passed test.","0","0","0","1","3","12","0","2","3","0","paragraph"
"Confidentiality","1","0","0","1","2","1","0","0","1","0","heading"
"TIBCO Software may not publish any test result of a candidate","0","0","0","1","3","11","0","2","3","0","paragraph"
"to anyone, unless authorized by the candidate.","0","0","0","1","0","7","0","1","2","0","paragraph"
"A candidate may publish any of his test results to anyone, in","0","0","0","1","3","12","0","2","3","0","paragraph"
"particular to any customer.","0","0","0","1","0","4","0","0","1","0","paragraph"
"Anyone, in particular any customer, may request TIBCO","0","0","0","1","3","8","0","2","2","0","paragraph"
"Software to authenticate any test result of a candidate.","0","0","0","1","3","9","0","1","3","0","paragraph"
"Price","1","0","0","1","2","1","0","0","1","0","heading"
"Euro zone: 600 € per participant and test","0","0","0","1","3","8","0","0","4","0","paragraph"
"United States: $700 per participant and test","0","0","0","1","3","7","0","0","3","0","paragraph"
"Website","1","0","0","1","2","1","0","0","1","0","heading"
"www.orchestranetworks.com/certification","0","0","1","1","0","1","0","0","1","0","paragraph"
"Contact","1","0","0","1","2","1","0","0","1","0","heading"
"ebx-training-cert@tibco.com","0","0","1","1","0","1","0","0","0","0","paragraph"
"TIBCO Software - ebx-training-cert@tibco.com - www.tibco.com","0","0","1","0","3","6","0","0","1","0","paragraph"
"Content domain","1","0","0","1","3","2","0","0","1","0","heading"
"The content domain of a test contains the following topics.","0","0","0","1","3","10","0","2","3","0","paragraph"
"A test has the elementary level: It contains primarily knowledge questions and secondarily skill questions.","0","0","0","1","3","15","0","1","5","0","paragraph"
"The reference material is that of the EBX 5.8.0 Development training.","0","0","0","1","3","11","0","0","2","0","paragraph"
"Libraries","0","0","0","1","2","1","0","0","1","0","paragraph"
"Directory structure","0","0","0","1","3","2","0","0","1","0","paragraph"
"EBX Core library","0","0","0","1","3","3","0","0","1","0","paragraph"
"EBX Add-Ons libraries","0","0","0","1","3","3","0","0","1","0","paragraph"
"Third party libraries","0","0","0","1","3","3","0","0","1","0","paragraph"
"Repository","0","0","0","1","2","1","0","0","1","0","paragraph"
"Directory structure","0","0","0","1","3","2","0","0","1","0","paragraph"
"EBX configuration file","0","0","0","1","3","3","0","0","1","0","paragraph"
"Server","0","0","0","1","2","1","0","0","1","0","paragraph"
"Required libraries","0","0","0","1","3","2","0","0","1","0","paragraph"
"Directory structure","0","0","0","1","3","2","0","0","1","0","paragraph"
"Deployed shared libraries","0","0","0","1","3","3","0","2","1","0","paragraph"
"Deployed web applications","0","0","0","1","3","3","0","1","1","0","paragraph"
"Server configuration file","0","0","0","1","3","3","0","0","1","0","paragraph"
"Eclipse run configuration","0","0","0","1","3","3","0","1","2","0","paragraph"
"Ant tasks","0","0","0","1","3","2","0","1","1","0","paragraph"
"Module","0","0","0","1","2","1","0","0","1","0","paragraph"
"Required libraries","0","0","0","1","3","2","0","0","1","0","paragraph"
"Directory structure","0","0","0","1","3","2","0","0","1","0","paragraph"
"Step 1. Project creation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Ant task definition","0","0","0","1","3","5","0","1","2","1","paragraph"
"Step 3. Module registration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Module configuration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 5. Module deployment","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 6. Server execution","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 7. Data model association","0","0","0","1","3","5","0","0","2","0","paragraph"
"Step 8. Data model publication","0","0","0","1","3","5","0","0","2","1","paragraph"
"Step 9. Data set creation","0","0","0","1","3","5","0","0","3","1","paragraph"
"Step10. Java bindings generation","0","0","0","1","3","4","0","1","2","1","paragraph"
"Computed fields","0","0","0","1","3","2","0","0","1","0","paragraph"
"Step 1. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Performance","0","0","0","1","2","1","0","0","1","0","paragraph"
"Foreign key filters","0","0","0","1","3","3","0","0","1","0","paragraph"
"Step 1. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Performance","0","0","0","1","2","1","0","0","1","0","paragraph"
"Table triggers","0","0","0","1","3","2","0","0","1","0","paragraph"
"Step 1. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Exception handling","0","0","0","1","3","2","0","0","1","0","paragraph"
"Field widgets","0","0","0","1","3","2","0","0","1","0","paragraph"
"Step 1. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Form Layouts","0","0","0","1","2","2","0","0","1","0","paragraph"
"Step 1. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Permissions","0","0","0","1","2","1","0","0","1","0","paragraph"
"Step 1. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Performance","0","0","0","1","2","1","0","0","1","0","paragraph"
"Workflow user tasks","0","0","0","1","3","3","0","0","1","0","paragraph"
"Step 1. Variable declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Workflow script tasks","0","0","0","1","3","3","0","0","1","0","paragraph"
"Step 1. Variable declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 5. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"Workflow conditions","0","0","0","1","3","2","0","0","1","0","paragraph"
"Step 1. Variable declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Class implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Class declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 4. Class association","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 5. Model publication","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"User services","0","0","0","1","3","2","0","0","1","0","paragraph"
"Step 1. Service implementation","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 2. Service declaration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Step 3. Service registration","0","0","0","1","3","4","0","0","2","1","paragraph"
"Life cycle","0","0","0","1","3","2","0","0","1","0","paragraph"
"TIBCO Software - ebx-training-cert@tibco.com - www.tibco.com","0","0","1","0","3","6","0","0","1","0","paragraph"
