"line","is_different_style","is_font_bigger","different_color","is_font_unique","text_case","word_count","is_number","nb_of_verbs","nb_of_nouns","nb_of_cardinal_numbers","label"
"be estimated. A Monte Carlo analysis was then performed to characterize the variability around these","0","0","0","1","3","15","0","3","2","0","paragraph"
"estimates. The results of this effort are reported in Appendix D of Volume III and are summarized in","0","0","0","1","3","18","0","2","5","0","paragraph"
"Table ES-2.","0","0","0","1","2","2","0","0","2","0","paragraph"
"A WC value for mercury was estimated as the ratio of an RfD, defined as the chronic NOAEL (in","0","0","0","1","3","19","0","2","5","0","paragraph"
"µg/kg bw/d), to an estimated mercury consumption rate, referenced to water concentration using a BAF.","0","0","0","1","3","15","0","3","4","0","paragraph"
"Individual wildlife criteria are provided in Table ES-3. This approach is similar to that used in non-","0","0","0","1","3","17","0","2","4","0","paragraph"
"cancer human health risk assessment and was employed previously to estimate a WC for mercury in the","0","0","0","1","3","17","0","2","3","0","paragraph"
"Water Quality Guidance for the Great Lakes System (GLWQI). The present effort differs, however,","0","0","0","1","3","14","0","1","3","0","paragraph"
"from that of the GLWQI in that the entire analysis was conducted on a methylmercury basis. Additional","0","0","0","1","3","17","0","1","3","0","paragraph"
"differences resulted from the availability of new data, including measured residue levels in fish and","0","0","0","1","0","15","0","3","5","0","paragraph"
"water, and a re-evaluation of the toxicity data from which RfD estimates were derived. In this Report, a","0","0","0","1","3","18","0","1","5","0","paragraph"
"more sensitive endpoint was selected for mammalian species, with the goal of assessing the full range of","0","0","0","1","0","17","0","2","4","0","paragraph"
"effects of mercury. These changes reflect the amount of discretion allowed under Agency Risk","0","0","0","1","3","14","0","2","6","0","paragraph"
"Assessment Guidelines.","0","0","0","1","2","2","0","0","1","0","paragraph"
"Species-specific WC values for methylmercury were estimated for selected avian and","0","0","0","1","3","11","0","2","3","0","paragraph"
"mammalian wildlife (identified above). A final WC was then calculated as the lowest mean of WC","0","0","0","1","3","16","0","2","4","0","paragraph"
"ES-6","0","0","0","1","1","1","0","0","1","0","paragraph"
"values for each of the two taxonomic classes (birds and mammals).","0","0","0","1","0","11","0","0","4","1","paragraph"
"was based on","0","0","0","1","0","3","0","1","0","0","paragraph"
"Table ES-3","1","0","0","1","2","2","0","0","1","0","heading"
"The final WC for methylmercury","0","0","0","1","3","5","0","0","2","0","paragraph"
"Wildlife Criteria for Methylmercury","1","0","0","1","2","4","0","0","2","0","heading"
"individual WC values calculated for mammalian species, and was estimated to be 50 picograms (pg)","0","0","0","1","3","15","0","2","4","0","paragraph"
"methylmercury/L water.","0","0","0","1","3","2","0","0","1","0","paragraph"
"The WC for methylmercury can be expressed as a corresponding mercury residue in fish though","0","0","0","1","3","15","0","2","4","0","paragraph"
"the use of appropriate BAFs. Using the BAFs presented in Table ES-2 (50th percentile), a WC of 50","0","0","0","1","3","18","0","2","6","1","paragraph"
"pg/L corresponds to methylmercury concentrations in fish of 0.077 µg/g and 0.346 µg/g for trophic levels","0","0","0","1","3","16","0","2","6","1","paragraph"
"3 and 4, respectively. In addition, a WC for total mercury can be calculated using an estimate of","0","0","0","1","3","18","0","3","4","2","paragraph"
"methylmercury as a proportion of total mercury in water. Based upon a survey of speciation data, the","0","0","0","1","3","17","0","1","6","0","paragraph"
"best current estimate of dissolved methylmercury as a proportion of total dissolved mercury was","0","0","0","1","0","14","0","2","4","0","paragraph"
"determined to be 0.078. Using this value, a methylmercury WC of 50 pg/L corresponds to a total","0","0","0","1","3","17","0","3","4","2","paragraph"
"dissolved mercury WC of 641 pg/L. An additional correction is needed if the WC is to be expressed as","0","0","0","1","3","19","0","3","4","1","paragraph"
"the amount of total mercury in unfiltered water. The available data, although highly variable, suggest","0","0","0","1","3","15","0","1","4","0","paragraph"
"that on average total dissolved mercury comprises about 70 percent of that contained in unfiltered water.","0","0","0","1","0","16","0","3","3","0","paragraph"
"Making this final correction results in a WC of 910 pg/L (unfiltered, total mercury), which is","0","0","0","1","3","16","0","1","3","1","paragraph"
"approximately 70 percent of the value published previously in the GLWQI.","0","0","0","1","3","11","0","1","3","0","paragraph"
"Conclusions","1","0","0","1","2","1","0","0","1","0","heading"
"The following conclusions are presented in approximate order of degree of certainty in the","1","0","0","1","3","14","0","2","4","0","heading"
"conclusion, based on the quality of the underlying database.","1","0","0","1","0","9","0","1","3","0","heading"
"with greater certainty to those with lesser certainty.","1","0","0","1","0","8","0","0","2","0","heading"
"The conclusions progress from those","1","0","0","1","3","5","0","1","1","0","heading"
"Mercury emitted to the atmosphere deposits on watersheds and is translocated to waterbodies. A","0","0","0","1","3","14","0","2","4","0","paragraph"
"variable proportion of this mercury is transformed by abiotic and biotic chemical reactions to","0","0","0","1","0","14","0","1","3","0","paragraph"
"organic derivatives, including methylmercury. Methylmercury bioaccumulates in individual","0","0","0","1","3","8","0","1","4","0","paragraph"
"organisms, biomagnifies in aquatic food chains and is the most toxic form of mercury to which","0","0","0","1","0","16","0","0","5","0","paragraph"
"wildlife are exposed.","0","0","0","1","0","3","0","1","1","0","paragraph"
"ES-7","0","0","0","1","1","1","0","0","1","0","paragraph"
"The proportion of total mercury in aquatic biota that exists as methylmercury tends to increase","0","0","0","1","3","15","0","3","4","0","paragraph"
"with trophic level. Greater than 90% of the mercury contained in freshwater fish exists as","0","0","0","1","3","15","0","2","4","0","paragraph"
"methylmercury. Methylmercury accumulates in fish throughout their lifetime, although changes","0","0","0","1","3","10","0","0","5","0","paragraph"
"in concentration as a function of time may be complicated by growth dilution and changing","0","0","0","1","0","15","0","2","4","0","paragraph"
"dietary habits.","0","0","0","1","0","2","0","0","1","0","paragraph"
"Piscivorous avian and mammalian wildlife are exposed to mercury primarily through","0","0","0","1","3","11","0","1","1","0","paragraph"
"consumption of contaminated fish and accumulate mercury to levels above those in prey items.","0","0","0","1","0","14","0","1","5","0","paragraph"
"Toxic effects on piscivorous avian and mammalian wildlife due to the consumption of","0","0","0","1","3","13","0","0","3","0","paragraph"
"contaminated fish have been observed in association with point source releases of mercury to the","0","0","0","1","0","15","0","1","4","0","paragraph"
"environment.","0","0","0","1","0","1","0","0","1","0","paragraph"
"Concentrations of mercury in the tissues of wildlife species have been reported at levels","0","0","0","1","3","14","0","1","5","0","paragraph"
"associated with adverse health effects in laboratory studies with the same species.","0","0","0","1","0","12","0","1","3","0","paragraph"
"Piscivorous birds and mammals receive a greater exposure to mercury than any other known","0","0","0","1","3","14","0","2","4","0","paragraph"
"receptors.","0","0","0","1","0","1","0","0","1","0","paragraph"
"BAFs for mercury in fish vary widely; however, field data are sufficient to calculate","0","0","0","1","3","14","0","2","4","0","paragraph"
"representative means for different trophic levels. These means are believed to be better estimates","0","0","0","1","3","14","0","2","3","0","paragraph"
"of mercury bioaccumulation in natural systems than values derived from laboratory studies. The","0","0","0","1","3","13","0","1","4","0","paragraph"
"recommended methylmercury BAFs for tropic levels 3 and 4 are 1,600,000 and 6,800,000,","0","0","0","1","3","13","0","1","2","4","paragraph"
"respectively (dissolved basis).","0","0","0","1","0","3","0","1","1","0","paragraph"
"Based upon knowledge of mercury bioaccumulation in fish, and of feeding rates and the identity","0","0","0","1","3","15","0","2","5","0","paragraph"
"of prey items consumed by piscivorous wildlife, it is possible to rank the relative exposure of","0","0","0","1","0","16","0","2","4","0","paragraph"
"different piscivorous wildlife species. Of the six wildlife species selected for detailed analysis,","0","0","0","1","3","13","0","1","3","1","paragraph"
"the relative ranking of exposure to mercury is this: kingfisher > otter > loon = osprey = mink >","0","0","0","1","0","19","0","1","5","0","paragraph"
"bald eagle. Existing data are insufficient to estimate the exposure of the Florida panther relative","0","0","0","1","3","15","0","2","4","0","paragraph"
"to that of the selected species.","0","0","0","1","0","6","0","1","1","0","paragraph"
"Local emissions sources (<50 km from receptors) have the potential to increase the exposure of","0","0","0","1","3","15","0","1","5","0","paragraph"
"piscivorous wildlife well above that due to sources located more than 50 km from the receptors","0","0","0","1","0","16","0","1","3","0","paragraph"
"(i.e., ""remote"" sources).","0","0","0","1","0","3","0","0","1","0","paragraph"
"Field data are insufficient to conclude whether the mink, otter or other piscivorous mammals","0","0","0","1","3","14","0","1","2","0","paragraph"
"have suffered adverse effects due to airborne mercury emissions.","0","0","0","1","0","9","0","1","2","0","paragraph"
"Field data are insufficient to conclude whether the loon, wood stork, great egret, or other","0","0","0","1","3","15","0","1","1","0","paragraph"
"piscivorous wading birds have suffered adverse effects due to airborne mercury emissions.","0","0","0","1","0","12","0","1","3","0","paragraph"
"Field data are suggestive of adverse toxicological effects in the Florida panther due to mercury.","0","0","0","1","3","15","0","0","4","0","paragraph"
"Unfortunately, the interpretation of these data is complicated by the co-occurrence of several","0","0","0","1","3","13","0","1","3","0","paragraph"
"other potentially toxic compounds, habitat degradation, and loss of genetic diversity. Field data","0","0","0","1","3","13","0","0","5","0","paragraph"
"suggest that bald eagles have not suffered adverse toxic effects due to airborne mercury","0","0","0","1","0","14","0","2","3","0","paragraph"
"emissions.","0","0","0","1","0","1","0","0","1","0","paragraph"
"ES-8","0","0","0","1","1","1","0","0","1","0","paragraph"
